Station,Day(Local_Date),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2)
Auckland Aero,20011230:0000,260,7.7,250,14.9,679,0.4,15.9,14.9,89.2,20.9,14.7,13.6,-,16.9,-,-,-,1005.7,-,-,22.30
Auckland Aero,20011231:0000,240,8.2,230,12.4,450,0.0,19.2,15.2,63.5,21.7,15.8,14.2,-,18.1,-,-,-,1011.7,-,-,28.40
Auckland Aero,20020101:0000,200,1.5,230,8.8,219,0.0,19.4,18.0,86.6,24.6,14.8,12.0,-,20.6,-,-,-,1016.3,-,-,30.40
Auckland Aero,20020102:0000,150,0.5,220,7.2,245,0.0,19.6,16.8,74.3,24.3,13.8,10.4,-,21.3,-,-,-,1014.8,-,-,30.30
Auckland Aero,20020103:0000,340,1.0,20,9.3,355,0.0,20.8,18.8,82.0,26.6,16.2,12.5,-,23.0,-,-,-,1013.3,-,-,23.70
Auckland Aero,20020104:0000,340,6.7,270,16.0,719,7.0,19.9,17.9,81.0,22.7,18.6,17.5,-,21.3,-,-,-,1003.8,-,-,25.90
Auckland Aero,20020105:0000,250,7.7,230,17.5,676,2.6,18.3,15.9,76.5,21.4,14.8,14.0,-,18.1,-,-,-,1007.6,-,-,23.50
Auckland Aero,20020106:0000,300,2.1,250,13.4,233,11.2,18.8,15.9,72.3,19.2,14.9,13.3,-,20.1,-,-,-,1008.4,-,-,10.20
Auckland Aero,20020107:0000,180,2.6,240,10.8,321,0.0,14.7,13.5,86.7,20.8,11.6,8.5,-,16.2,-,-,-,1013.3,-,-,28.40
Auckland Aero,20020108:0000,360,1.0,240,7.7,201,0.2,16.6,15.0,83.6,21.1,11.5,8.5,-,17.4,-,-,-,1014.9,-,-,18.50
Auckland Aero,20020109:0000,30,4.1,40,12.9,351,12.2,17.8,16.6,87.6,20.8,15.1,13.3,-,18.2,-,-,-,1009.6,-,-,7.40
Auckland Aero,20020110:0000,10,2.1,290,11.3,305,0.0,20.4,19.7,93.4,24.9,15.7,13.8,-,20.8,-,-,-,1000.9,-,-,29.30
Auckland Aero,20020111:0000,60,6.2,60,14.9,417,3.6,21.0,18.5,77.9,23.4,16.1,13.4,-,20.5,-,-,-,1001.6,-,-,16.70
Auckland Aero,20020112:0000,30,3.1,310,14.9,236,8.2,19.8,19.1,93.4,23.9,15.3,12.7,-,19.3,-,-,-,995.8,-,-,18.20
Auckland Aero,20020113:0000,260,2.6,250,9.3,371,3.6,18.9,17.5,86.6,23.2,13.9,11.9,-,19.1,-,-,-,999.0,-,-,29.40
Auckland Aero,20020114:0000,40,5.7,300,12.9,540,7.4,18.4,17.6,92.0,24.8,17.5,15.7,-,19.3,-,-,-,1001.8,-,-,16.40
Auckland Aero,20020115:0000,320,6.7,300,15.4,509,4.0,17.7,16.6,89.0,23.5,17.4,16.3,-,18.6,-,-,-,1000.5,-,-,18.40
Auckland Aero,20020116:0000,300,4.1,270,12.9,361,0.0,19.7,17.0,74.8,23.8,17.1,15.2,-,19.7,-,-,-,1009.5,-,-,29.70
Auckland Aero,20020117:0000,30,1.0,20,8.2,188,1.2,20.4,17.9,77.4,24.4,14.7,12.9,-,20.8,-,-,-,1013.6,-,-,18.30
