Station,Day(Local_Date),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2)
Auckland Aero,20220101:0000,220,7.0,218,13.9,452,0.0,19.5,16.3,70.4,23.9,16.4,13.9,21.2,21.8,-,-,-,1018.2,1017.3,-,31.12
Auckland Aero,20220102:0000,57,3.6,61,11.8,405,0.0,22.2,17.9,63.7,27.9,15.7,11.1,21.5,22.0,-,-,-,1020.6,1019.7,-,32.68
Auckland Aero,20220103:0000,138,2.6,219,9.8,332,0.0,20.3,17.4,73.9,26.8,14.9,10.2,21.9,22.5,-,-,-,1019.8,1018.9,-,32.41
Auckland Aero,20220104:0000,132,1.2,237,8.8,306,0.0,21.7,19.5,80.4,27.9,17.3,13.6,23.0,23.3,-,-,-,1012.5,1011.7,-,32.36
Auckland Aero,20220105:0000,197,2.3,244,10.3,508,0.0,21.2,18.8,78.4,25.1,17.8,14.5,23.3,23.8,-,-,-,1011.5,1010.7,-,29.28
Auckland Aero,20220106:0000,231,4.8,226,10.8,365,0.0,20.7,17.9,74.5,25.3,19.4,18.5,22.8,23.6,-,-,-,1011.2,1010.3,-,27.46
Auckland Aero,20220107:0000,113,2.8,4,10.3,277,0.0,20.4,18.3,80.3,25.1,18.2,16.0,23.2,23.7,-,-,-,1016.4,1015.5,-,17.33
Auckland Aero,20220108:0000,107,1.8,222,8.2,248,0.0,21.6,18.2,70.5,26.6,16.5,12.2,22.4,23.0,-,-,-,1021.3,1020.4,-,28.28
Auckland Aero,20220109:0000,248,1.6,253,10.3,379,0.0,22.5,19.6,75.1,27.7,17.6,13.4,23.0,23.4,-,-,-,1022.8,1021.9,-,30.82
Auckland Aero,20220110:0000,259,4.3,266,9.3,384,0.0,21.6,19.1,77.9,26.8,18.4,15.1,23.0,23.8,-,-,-,1022.4,1021.5,-,24.88
Auckland Aero,20220111:0000,242,3.8,229,9.8,415,0.4,22.7,19.8,74.9,26.9,18.6,16.8,23.2,23.8,-,-,-,1021.3,1020.4,-,31.53
Auckland Aero,20220112:0000,228,3.6,225,10.8,502,0.2,21.2,18.3,74.6,25.2,19.1,16.9,23.6,24.2,-,-,-,1018.7,1017.8,-,29.47
Auckland Aero,20220113:0000,172,4.2,69,13.4,470,0.0,20.1,16.0,62.9,27.5,17.1,14.9,22.5,23.3,-,-,-,1016.2,1015.3,-,24.27
Auckland Aero,20220114:0000,115,4.3,43,9.8,363,0.0,18.5,14.1,58.9,26.0,15.3,13.0,21.7,22.7,-,-,-,1019.0,1018.1,-,27.82
Auckland Aero,20220115:0000,138,5.1,65,9.3,368,0.0,19.9,15.1,57.3,26.0,15.3,13.3,22.3,22.9,-,-,-,1018.5,1017.6,-,24.72
Auckland Aero,20220116:0000,133,5.8,223,10.8,367,0.0,18.9,14.7,61.4,27.4,15.0,12.2,21.6,22.6,-,-,-,1017.5,1016.6,-,30.48
Auckland Aero,20220117:0000,177,2.2,229,12.9,582,0.0,19.3,15.1,61.5,26.1,14.7,10.7,22.0,22.9,-,-,-,1012.7,1011.8,-,32.11
Auckland Aero,20220118:0000,226,4.3,269,10.8,411,0.0,21.2,17.9,71.2,25.7,19.2,18.6,23.5,23.7,-,-,-,1013.3,1012.4,-,29.26
Auckland Aero,20220119:0000,265,1.4,245,9.8,368,0.0,22.2,18.9,71.6,27.3,16.5,12.7,23.3,23.7,-,-,-,1014.2,1013.4,-,31.31
Auckland Aero,20220120:0000,310,4.4,245,13.9,515,0.2,22.1,18.8,71.9,25.0,18.1,15.9,23.4,24.0,-,-,-,1011.1,1010.3,-,13.38
Auckland Aero,20220121:0000,211,5.1,213,11.8,416,0.0,18.8,15.1,65.5,24.2,16.6,14.1,20.8,22.1,-,-,-,1016.2,1015.3,-,29.07
Auckland Aero,20220122:0000,42,0.7,336,10.8,265,0.0,20.4,17.5,73.6,27.4,15.0,9.6,21.3,22.2,-,-,-,1020.5,1019.6,-,28.75
Auckland Aero,20220123:0000,186,0.7,246,8.2,212,3.6,20.7,17.8,73.5,26.1,16.2,11.0,22.4,23.1,-,-,-,1017.6,1016.7,-,17.65
Auckland Aero,20220124:0000,118,0.9,52,9.8,379,3.0,19.1,18.3,92.2,21.9,18.6,17.8,22.6,23.3,-,-,-,1014.2,1013.3,-,7.47
Auckland Aero,20220125:0000,51,5.5,61,13.4,455,0.8,21.3,18.5,75.5,27.2,17.2,17.1,21.0,21.6,-,-,-,1010.9,1010.1,-,16.27
Auckland Aero,20220126:0000,329,2.6,244,8.2,421,0.4,22.2,19.8,79.2,28.5,18.3,16.5,21.9,22.3,-,-,-,1005.3,1004.5,-,23.92
Auckland Aero,20220127:0000,203,8.5,221,16.0,565,0.2,20.8,16.6,63.4,24.1,18.8,16.5,21.6,22.6,-,-,-,1010.4,1009.5,-,29.15
Auckland Aero,20220128:0000,116,4.7,82,10.3,279,0.0,18.6,13.4,52.5,27.3,16.7,12.1,20.8,21.8,-,-,-,1025.6,1024.7,-,30.65
Auckland Aero,20220129:0000,132,1.9,360,8.2,190,0.0,19.7,16.5,70.2,25.1,14.7,9.9,21.1,22.1,-,-,-,1029.2,1028.3,-,16.19
Auckland Aero,20220130:0000,327,0.8,237,9.3,285,0.0,20.0,17.2,73.9,26.3,15.1,9.7,20.7,21.7,-,-,-,1025.8,1024.9,-,28.56
Auckland Aero,20220131:0000,76,4.3,41,14.9,585,0.0,21.7,18.1,68.6,27.6,16.1,12.8,22.1,22.6,-,-,-,1021.4,1020.5,-,28.61
Auckland Aero,20220201:0000,54,7.2,53,14.9,656,0.0,22.4,18.6,67.5,26.8,19.8,18.4,23.2,23.4,-,-,-,1020.7,1019.8,-,20.10
Auckland Aero,20220202:0000,59,7.1,25,16.0,619,0.0,22.4,19.5,74.8,27.9,20.5,19.6,23.1,23.3,-,-,-,1018.8,1017.9,-,21.70
Auckland Aero,20220203:0000,43,5.8,41,13.9,540,0.0,22.3,19.8,78.5,27.5,20.9,19.7,23.4,23.5,-,-,-,1016.1,1015.2,-,17.85
Auckland Aero,20220204:0000,28,6.3,24,14.4,673,0.0,22.6,19.5,73.5,27.9,20.2,18.7,23.1,23.2,-,-,-,1011.8,1011.0,-,27.23
Auckland Aero,20220205:0000,31,7.6,35,15.4,743,6.4,24.1,21.4,77.5,26.5,21.7,21.1,24.2,24.2,-,-,-,1007.3,1006.5,-,13.91
