Station,Date(NZST),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
Auckland Aero,20030101:0800,0.0,-,120.3,0.0,24,D
Auckland Aero,20030102:0800,0.0,-,122.4,0.0,24,D
Auckland Aero,20030103:0800,0.0,-,124.3,0.0,24,D
Auckland Aero,20030104:0800,0.0,-,126.0,0.0,24,D
Auckland Aero,20030105:0800,0.4,-,127.3,0.0,24,D
Auckland Aero,20030106:0800,12.4,-,116.4,0.0,24,D
Auckland Aero,20030107:0800,2.4,-,116.3,0.0,24,D
Auckland Aero,20030108:0800,6.0,-,112.6,0.0,24,D
Auckland Aero,20030109:0800,13.0,-,102.2,0.0,24,D
Auckland Aero,20030110:0800,42.0,-,63.4,0.0,24,D
Auckland Aero,20030111:0800,7.4,-,61.2,0.0,24,D
Auckland Aero,20030112:0800,0.0,-,66.3,0.0,24,D
Auckland Aero,20030113:0800,0.4,-,71.0,0.0,24,D
Auckland Aero,20030114:0800,7.4,-,68.7,0.0,24,D
Auckland Aero,20030115:0800,0.0,-,73.9,0.0,24,D
Auckland Aero,20030116:0800,0.0,-,79.0,0.0,24,D
Auckland Aero,20030117:0800,0.0,-,83.8,0.0,24,D
Auckland Aero,20030118:0800,0.0,-,88.4,0.0,24,D
Auckland Aero,20030119:0800,0.0,-,92.6,0.0,24,D
Auckland Aero,20030120:0800,0.0,-,96.5,0.0,24,D
Auckland Aero,20030121:0800,1.2,-,99.0,0.0,24,D
Auckland Aero,20030122:0800,0.4,-,102.0,0.0,24,D
Auckland Aero,20030123:0800,3.4,-,101.9,0.0,24,D
Auckland Aero,20030124:0800,2.4,-,102.8,0.0,24,D
Auckland Aero,20030125:0800,5.0,-,101.0,0.0,24,D
Auckland Aero,20030126:0800,3.6,-,100.8,0.0,24,D
Auckland Aero,20030127:0800,0.0,-,104.1,0.0,24,D
Auckland Aero,20030128:0800,1.2,-,106.1,0.0,24,D
Auckland Aero,20030129:0800,0.0,-,109.1,0.0,24,D
Auckland Aero,20030130:0800,0.0,-,111.9,0.0,24,D
Auckland Aero,20030131:0800,0.0,-,114.5,0.0,24,D
Auckland Aero,20030201:0800,0.0,-,116.9,0.0,24,D
Auckland Aero,20030202:0800,0.0,-,118.9,0.0,24,D
Auckland Aero,20030203:0800,0.0,-,120.7,0.0,24,D
Auckland Aero,20030204:0800,0.0,-,122.4,0.0,24,D
Auckland Aero,20030205:0800,0.0,-,124.1,0.0,24,D
Auckland Aero,20030206:0800,0.0,-,125.6,0.0,24,D
Auckland Aero,20030207:0800,0.0,-,127.0,0.0,24,D
Auckland Aero,20030208:0800,0.0,-,128.4,0.0,24,D
Auckland Aero,20030209:0800,0.0,-,129.7,0.0,24,D
Auckland Aero,20030210:0800,0.0,-,130.9,0.0,24,D
Auckland Aero,20030211:0800,0.0,-,132.0,0.0,24,D
Auckland Aero,20030212:0800,0.0,-,133.1,0.0,24,D
Auckland Aero,20030213:0800,0.0,-,134.1,0.0,24,D
Auckland Aero,20030214:0800,0.0,-,135.0,0.0,24,D
Auckland Aero,20030215:0800,0.2,-,135.7,0.0,24,D
Auckland Aero,20030216:0800,0.0,-,136.5,0.0,24,D
Auckland Aero,20030217:0800,0.0,-,137.3,0.0,24,D
Auckland Aero,20030218:0800,0.0,-,138.1,0.0,24,D
Auckland Aero,20030219:0800,7.4,-,131.4,0.0,24,D
Auckland Aero,20030220:0800,16.2,-,116.3,0.0,24,D
Auckland Aero,20030221:0800,0.8,-,117.5,0.0,24,D
Auckland Aero,20030222:0800,2.0,-,117.4,0.0,24,D
Auckland Aero,20030223:0800,0.0,-,119.3,0.0,24,D
Auckland Aero,20030224:0800,0.0,-,121.1,0.0,24,D
Auckland Aero,20030225:0800,7.6,-,115.2,0.0,24,D
Auckland Aero,20030226:0800,2.8,-,114.5,0.0,24,D
Auckland Aero,20030227:0800,5.0,-,111.6,0.0,24,D
Auckland Aero,20030228:0800,8.4,-,105.5,0.0,24,D
Auckland Aero,20030301:0800,4.0,-,104.1,0.0,24,D
Auckland Aero,20030302:0800,0.0,-,106.0,0.0,24,D
Auckland Aero,20030303:0800,24.2,-,83.7,0.0,24,D
Auckland Aero,20030304:0800,0.0,-,86.5,0.0,24,D
Auckland Aero,20030305:0800,0.0,-,89.2,0.0,24,D
Auckland Aero,20030306:0800,0.0,-,91.8,0.0,24,D
Auckland Aero,20030307:0800,0.0,-,94.3,0.0,24,D
Auckland Aero,20030308:0800,7.6,-,89.0,0.0,24,D
Auckland Aero,20030309:0800,0.0,-,91.6,0.0,24,D
Auckland Aero,20030310:0800,0.0,-,94.1,0.0,24,D
Auckland Aero,20030311:0800,62.8,-,33.7,0.0,24,D
Auckland Aero,20030312:0800,16.2,-,20.7,0.0,24,D
Auckland Aero,20030313:0800,0.0,-,23.9,0.0,24,D
Auckland Aero,20030314:0800,0.0,-,27.0,0.0,24,D
Auckland Aero,20030315:0800,0.6,-,29.6,0.0,24,D
Auckland Aero,20030316:0900,0.6,-,32.2,0.0,24,D
Auckland Aero,20030317:0900,0.0,-,35.4,0.0,24,D
Auckland Aero,20030318:0900,0.0,-,38.6,0.0,24,D
Auckland Aero,20030319:0900,0.0,-,41.8,0.0,24,D
Auckland Aero,20030320:0900,0.0,-,45.0,0.0,24,D
Auckland Aero,20030321:0900,0.0,-,48.2,0.0,24,D
Auckland Aero,20030322:0900,0.8,-,50.5,0.0,24,D
Auckland Aero,20030323:0900,0.2,-,53.5,0.0,24,D
Auckland Aero,20030324:0900,0.0,-,56.7,0.0,24,D
Auckland Aero,20030325:0900,0.4,-,59.5,0.0,24,D
Auckland Aero,20030326:0900,0.0,-,62.7,0.0,24,D
Auckland Aero,20030327:0900,4.6,-,61.3,0.0,24,D
Auckland Aero,20030328:0900,7.0,-,57.5,0.0,24,D
Auckland Aero,20030329:0900,18.6,-,42.1,0.0,24,D
Auckland Aero,20030330:0900,0.0,-,45.2,0.0,24,D
Auckland Aero,20030331:0900,0.4,-,48.0,0.0,24,D
Auckland Aero,20030401:0900,1.0,-,50.2,0.0,24,D
Auckland Aero,20030402:0900,0.0,-,52.7,0.0,24,D
Auckland Aero,20030403:0900,0.0,-,55.1,0.0,24,D
Auckland Aero,20030404:0900,0.0,-,57.5,0.0,24,D
Auckland Aero,20030405:0900,0.0,-,60.0,0.0,24,D
Auckland Aero,20030406:0900,13.4,-,49.0,0.0,24,D
Auckland Aero,20030407:0900,4.6,-,46.9,0.0,24,D
Auckland Aero,20030408:0900,0.0,-,49.3,0.0,24,D
Auckland Aero,20030409:0900,0.0,-,51.7,0.0,24,D
Auckland Aero,20030410:0900,0.0,-,54.2,0.0,24,D
Auckland Aero,20030411:0900,0.0,-,56.6,0.0,24,D
Auckland Aero,20030412:0900,0.0,-,59.1,0.0,24,D
Auckland Aero,20030413:0900,16.2,-,45.3,0.0,24,D
Auckland Aero,20030414:0900,0.0,-,47.7,0.0,24,D
Auckland Aero,20030415:0900,0.0,-,50.2,0.0,24,D
Auckland Aero,20030416:0900,0.2,-,52.4,0.0,24,D
Auckland Aero,20030417:0900,0.0,-,54.9,0.0,24,D
Auckland Aero,20030418:0900,0.0,-,57.3,0.0,24,D
Auckland Aero,20030419:0900,2.2,-,57.5,0.0,24,D
Auckland Aero,20030420:0900,1.6,-,58.4,0.0,24,D
Auckland Aero,20030421:0900,16.6,-,44.2,0.0,24,D
Auckland Aero,20030422:0900,0.2,-,46.5,0.0,24,D
Auckland Aero,20030423:0900,0.0,-,48.9,0.0,24,D
Auckland Aero,20030424:0900,0.0,-,51.3,0.0,24,D
Auckland Aero,20030425:0900,0.0,-,53.8,0.0,24,D
Auckland Aero,20030426:0900,0.0,-,56.2,0.0,24,D
Auckland Aero,20030427:0900,0.0,-,58.7,0.0,24,D
Auckland Aero,20030428:0900,0.0,-,61.1,0.0,24,D
Auckland Aero,20030429:0900,0.0,-,63.5,0.0,24,D
Auckland Aero,20030430:0900,0.2,-,65.8,0.0,24,D
Auckland Aero,20030501:0900,0.0,-,68.2,0.0,24,D
Auckland Aero,20030502:0900,1.2,-,68.3,0.0,24,D
Auckland Aero,20030503:0900,17.0,-,52.5,0.0,24,D
Auckland Aero,20030504:0900,0.0,-,53.8,0.0,24,D
Auckland Aero,20030505:0900,0.4,-,54.7,0.0,24,D
Auckland Aero,20030506:0900,0.0,-,55.9,0.0,24,D
Auckland Aero,20030507:0900,0.0,-,57.2,0.0,24,D
Auckland Aero,20030508:0900,0.4,-,58.1,0.0,24,D
Auckland Aero,20030509:0900,0.2,-,59.1,0.0,24,D
Auckland Aero,20030510:0900,0.8,-,59.6,0.0,24,D
Auckland Aero,20030511:0900,6.8,-,54.1,0.0,24,D
Auckland Aero,20030512:0900,0.6,-,54.7,0.0,24,D
Auckland Aero,20030513:0900,9.0,-,47.0,0.0,24,D
Auckland Aero,20030514:0900,0.0,-,48.3,0.0,24,D
Auckland Aero,20030515:0900,0.0,-,49.5,0.0,24,D
Auckland Aero,20030516:0900,0.0,-,50.8,0.0,24,D
Auckland Aero,20030517:0900,0.0,-,52.0,0.0,24,D
Auckland Aero,20030518:0900,0.0,-,53.3,0.0,24,D
Auckland Aero,20030519:0900,0.0,-,54.6,0.0,24,D
Auckland Aero,20030520:0900,10.6,-,45.2,0.0,24,D
Auckland Aero,20030521:0900,6.2,-,40.3,0.0,24,D
Auckland Aero,20030522:0900,16.2,-,25.4,0.0,24,D
Auckland Aero,20030523:0900,1.2,-,25.4,0.0,24,D
Auckland Aero,20030524:0900,2.2,-,24.5,0.0,24,D
Auckland Aero,20030525:0900,6.2,-,19.6,0.0,24,D
Auckland Aero,20030526:0900,0.4,-,20.4,0.0,24,D
Auckland Aero,20030527:0900,5.0,-,16.7,0.0,24,D
Auckland Aero,20030528:0900,0.0,-,18.0,0.0,24,D
Auckland Aero,20030529:0900,0.4,-,18.8,0.0,24,D
Auckland Aero,20030530:0900,0.2,-,19.9,0.0,24,D
Auckland Aero,20030531:0900,1.0,-,20.2,0.0,24,D
Auckland Aero,20030601:0900,0.0,-,21.4,0.0,24,D
Auckland Aero,20030602:0900,0.0,-,22.4,0.0,24,D
Auckland Aero,20030603:0900,0.2,-,23.1,0.0,24,D
Auckland Aero,20030604:0900,0.6,-,23.5,0.0,24,D
Auckland Aero,20030605:0900,6.6,-,17.9,0.0,24,D
Auckland Aero,20030606:0900,9.8,-,9.0,0.0,24,D
Auckland Aero,20030607:0900,0.4,-,9.6,0.0,24,D
Auckland Aero,20030608:0900,0.2,-,10.4,0.0,24,D
Auckland Aero,20030609:0900,16.4,-,0.0,5.1,24,D
Auckland Aero,20030610:0900,6.8,-,0.0,5.8,24,D
Auckland Aero,20030611:0900,0.0,-,1.0,0.0,24,D
Auckland Aero,20030612:0900,0.0,-,1.9,0.0,24,D
Auckland Aero,20030613:0900,0.0,-,2.9,0.0,24,D
Auckland Aero,20030614:0900,0.0,-,3.9,0.0,24,D
Auckland Aero,20030615:0900,0.0,-,4.8,0.0,24,D
Auckland Aero,20030616:0900,18.6,-,0.0,12.8,24,D
Auckland Aero,20030617:0900,7.8,-,0.0,6.8,24,D
