
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland, North Shore Albany Ews,37852,A64776,-36.74827,174.71377,64,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
Auckland, North Shore Albany Ews,20220101:2259,12.4,24,D
Auckland, North Shore Albany Ews,20220102:2259,13.2,24,D
Auckland, North Shore Albany Ews,20220103:2259,13.5,24,D
Auckland, North Shore Albany Ews,20220104:2259,13.1,24,D
Auckland, North Shore Albany Ews,20220105:2259,12.8,24,D
Auckland, North Shore Albany Ews,20220106:2259,5.8,24,D
Auckland, North Shore Albany Ews,20220107:2259,5.8,24,D
Auckland, North Shore Albany Ews,20220108:2259,9.0,24,D
Auckland, North Shore Albany Ews,20220109:2259,8.5,24,D
Auckland, North Shore Albany Ews,20220110:2259,6.7,24,D
Auckland, North Shore Albany Ews,20220111:2259,13.2,24,D
Auckland, North Shore Albany Ews,20220112:2259,10.1,24,D
Auckland, North Shore Albany Ews,20220113:2259,11.6,24,D
Auckland, North Shore Albany Ews,20220114:2259,11.9,24,D
Auckland, North Shore Albany Ews,20220115:2259,9.7,24,D
Auckland, North Shore Albany Ews,20220116:2259,13.0,24,D
Auckland, North Shore Albany Ews,20220117:2259,13.3,24,D
Auckland, North Shore Albany Ews,20220118:2259,12.3,24,D
Auckland, North Shore Albany Ews,20220119:2259,12.2,24,D
Auckland, North Shore Albany Ews,20220120:2259,3.3,24,D
Auckland, North Shore Albany Ews,20220121:2259,7.8,24,D
Auckland, North Shore Albany Ews,20220122:2259,12.3,24,D
Auckland, North Shore Albany Ews,20220123:2259,9.3,24,D
Auckland, North Shore Albany Ews,20220124:2259,0.0,24,D
Auckland, North Shore Albany Ews,20220125:2259,2.6,24,D
Auckland, North Shore Albany Ews,20220126:2259,7.4,24,D
Auckland, North Shore Albany Ews,20220127:2259,11.7,24,D
Auckland, North Shore Albany Ews,20220128:2259,12.4,24,D
Auckland, North Shore Albany Ews,20220129:2259,11.0,24,D
Auckland, North Shore Albany Ews,20220130:2259,11.7,24,D
Auckland, North Shore Albany Ews,20220131:2259,8.6,24,D
Auckland, North Shore Albany Ews,20220201:2259,9.1,24,D
Auckland, North Shore Albany Ews,20220202:2259,6.7,24,D
Auckland, North Shore Albany Ews,20220203:2259,4.9,24,D
Auckland, North Shore Albany Ews,20220204:2259,10.1,24,D
Auckland, North Shore Albany Ews,20220205:2259,2.3,24,D
Auckland, North Shore Albany Ews,20220206:2259,0.0,24,D
Auckland, North Shore Albany Ews,20220207:2259,0.0,24,D
Auckland, North Shore Albany Ews,20220208:2259,4.2,24,D
Auckland, North Shore Albany Ews,20220209:2259,1.2,24,D
Auckland, North Shore Albany Ews,20220210:2259,8.4,24,D
Auckland, North Shore Albany Ews,20220211:2259,1.7,24,D
Auckland, North Shore Albany Ews,20220212:2259,0.3,24,D
Auckland, North Shore Albany Ews,20220213:2259,3.4,24,D
Auckland, North Shore Albany Ews,20220214:2259,10.3,24,D
Auckland, North Shore Albany Ews,20220215:2259,12.5,24,D
Auckland, North Shore Albany Ews,20220216:2259,10.7,24,D
Auckland, North Shore Albany Ews,20220217:2259,4.0,24,D
Auckland, North Shore Albany Ews,20220218:2259,10.8,24,D
Auckland, North Shore Albany Ews,20220219:2259,1.5,24,D
Auckland, North Shore Albany Ews,20220220:2259,7.8,24,D
Auckland, North Shore Albany Ews,20220221:2259,12.2,24,D
Auckland, North Shore Albany Ews,20220222:2259,10.7,24,D
Auckland, North Shore Albany Ews,20220223:2259,12.1,24,D
