Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
Auckland Aero,20030101:0800,24.1,24,12.7,24,10.8,24,18.4,-,24,D
Auckland Aero,20030102:0800,25.9,24,13.4,24,12.4,24,19.7,-,24,D
Auckland Aero,20030103:0800,24.9,24,15.6,24,13.7,24,20.3,-,24,D
Auckland Aero,20030104:0800,26.0,24,15.4,24,13.3,24,20.7,-,24,D
Auckland Aero,20030105:0800,25.2,24,17.9,24,17.7,24,21.6,-,24,D
Auckland Aero,20030106:0800,24.8,24,18.1,24,18.6,24,21.5,-,24,D
Auckland Aero,20030107:0800,23.9,24,15.8,24,15.0,24,19.9,-,24,D
Auckland Aero,20030108:0800,24.7,24,15.3,24,14.3,24,20.0,-,24,D
Auckland Aero,20030109:0800,21.2,24,15.0,24,14.1,24,18.1,-,24,D
Auckland Aero,20030110:0800,23.6,24,16.9,24,16.2,24,20.3,-,24,D
Auckland Aero,20030111:0800,21.8,24,17.7,24,16.2,24,19.8,-,24,D
Auckland Aero,20030112:0800,23.9,24,15.8,24,14.5,24,19.9,-,24,D
Auckland Aero,20030113:0800,24.7,24,17.1,24,16.5,24,20.9,-,24,D
Auckland Aero,20030114:0800,22.8,24,12.7,24,13.0,24,17.8,-,24,D
Auckland Aero,20030115:0800,21.2,24,9.5,24,8.8,24,15.4,-,24,D
Auckland Aero,20030116:0800,20.5,24,12.9,24,11.4,24,16.7,-,24,D
Auckland Aero,20030117:0800,22.6,24,12.9,24,11.4,24,17.8,-,24,D
Auckland Aero,20030118:0800,22.3,24,13.7,24,13.3,24,18.0,-,24,D
Auckland Aero,20030119:0800,22.9,24,12.9,24,10.9,24,17.9,-,24,D
Auckland Aero,20030120:0800,23.5,24,16.2,24,14.8,24,19.9,-,24,D
Auckland Aero,20030121:0800,23.1,24,17.1,24,16.5,24,20.1,-,24,D
Auckland Aero,20030122:0800,22.7,24,17.2,24,16.7,24,20.0,-,24,D
Auckland Aero,20030123:0800,25.1,24,16.8,24,18.1,24,21.0,-,24,D
Auckland Aero,20030124:0800,22.3,24,15.4,24,14.9,24,18.9,-,24,D
Auckland Aero,20030125:0800,22.1,24,13.4,24,14.2,24,17.8,-,24,D
Auckland Aero,20030126:0800,19.5,24,13.0,24,11.8,24,16.3,-,24,D
Auckland Aero,20030127:0800,19.7,24,15.0,24,15.4,24,17.4,-,24,D
Auckland Aero,20030128:0800,22.5,24,16.0,24,14.9,24,19.3,-,24,D
Auckland Aero,20030129:0800,21.5,24,15.9,24,14.5,24,18.7,-,24,D
Auckland Aero,20030130:0800,22.4,24,12.3,24,10.9,24,17.4,-,24,D
Auckland Aero,20030131:0800,24.9,24,13.6,24,11.5,24,19.3,-,24,D
Auckland Aero,20030201:0800,24.8,24,14.6,24,13.0,24,19.7,-,24,D
Auckland Aero,20030202:0800,25.0,24,14.8,24,12.9,24,19.9,-,24,D
Auckland Aero,20030203:0800,24.8,24,17.4,24,16.8,24,21.1,-,24,D
Auckland Aero,20030204:0800,22.9,24,17.4,24,16.6,24,20.2,-,24,D
Auckland Aero,20030205:0800,21.8,24,15.3,24,13.7,24,18.6,-,24,D
Auckland Aero,20030206:0800,25.7,24,16.9,24,16.0,24,21.3,-,24,D
Auckland Aero,20030207:0800,24.1,24,16.1,24,14.7,24,20.1,-,24,D
Auckland Aero,20030208:0800,25.8,24,16.1,24,14.1,24,21.0,-,24,D
Auckland Aero,20030209:0800,24.2,24,14.9,24,13.6,24,19.6,-,24,D
Auckland Aero,20030210:0800,24.2,24,16.2,24,15.0,24,20.2,-,24,D
Auckland Aero,20030211:0800,24.9,24,15.1,24,13.1,24,20.0,-,24,D
Auckland Aero,20030212:0800,24.9,24,17.4,24,16.5,24,21.2,-,24,D
Auckland Aero,20030213:0800,25.0,24,17.0,24,16.3,24,21.0,-,24,D
Auckland Aero,20030214:0800,25.4,24,14.8,24,12.9,24,20.1,-,24,D
Auckland Aero,20030215:0800,25.5,24,16.2,24,13.9,24,20.9,-,24,D
Auckland Aero,20030216:0800,22.3,24,11.7,24,4.7,24,17.0,-,24,D
Auckland Aero,20030217:0800,23.9,24,13.0,24,8.0,24,18.5,-,24,D
Auckland Aero,20030218:0800,25.9,24,15.2,24,9.3,24,20.6,-,24,D
Auckland Aero,20030219:0800,27.3,24,17.9,24,16.1,24,22.6,-,24,D
Auckland Aero,20030220:0800,20.0,24,16.5,24,14.5,24,18.3,-,24,D
Auckland Aero,20030221:0800,21.7,24,14.4,24,11.5,24,18.1,-,24,D
Auckland Aero,20030222:0800,21.8,24,13.4,24,11.6,24,17.6,-,24,D
Auckland Aero,20030223:0800,20.3,24,10.6,24,4.2,24,15.5,-,24,D
Auckland Aero,20030224:0800,19.9,24,13.5,24,8.6,24,16.7,-,24,D
Auckland Aero,20030225:0800,21.5,24,14.9,24,8.6,24,18.2,-,24,D
Auckland Aero,20030226:0800,20.0,24,17.0,24,16.4,24,18.5,-,24,D
Auckland Aero,20030227:0800,21.4,24,17.1,24,16.7,24,19.3,-,24,D
Auckland Aero,20030228:0800,21.7,24,17.8,24,15.2,24,19.8,-,24,D
Auckland Aero,20030301:0800,24.1,24,17.1,24,13.2,24,20.6,-,24,D
Auckland Aero,20030302:0800,26.9,24,17.4,24,12.9,24,22.2,-,24,D
Auckland Aero,20030303:0800,26.0,24,17.6,24,17.2,24,21.8,-,24,D
Auckland Aero,20030304:0800,23.4,24,16.2,24,14.0,24,19.8,-,24,D
Auckland Aero,20030305:0800,20.8,24,12.1,24,6.8,24,16.5,-,24,D
Auckland Aero,20030306:0800,21.7,24,14.0,24,9.6,24,17.9,-,24,D
Auckland Aero,20030307:0800,23.5,24,14.4,24,11.0,24,19.0,-,24,D
