Station,Date(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
Pukekohe Ews,20030101:0800,116,1.9,20.3,0.6,1,H
Pukekohe Ews,20030102:0800,69,2.2,31.0,0.6,1,H
Pukekohe Ews,20030103:0800,13,1.9,21.7,0.6,1,H
Pukekohe Ews,20030104:0800,28,2.0,21.8,0.9,1,H
Pukekohe Ews,20030105:0800,20,2.6,19.0,0.8,1,H
Pukekohe Ews,20030106:0800,37,1.3,18.5,0.6,1,H
Pukekohe Ews,20030107:0800,132,1.9,30.1,0.7,1,H
Pukekohe Ews,20030108:0800,127,3.1,18.7,0.9,1,H
Pukekohe Ews,20030109:0800,40,4.8,20.0,1.6,1,H
Pukekohe Ews,20030110:0800,102,4.0,17.4,1.0,1,H
Pukekohe Ews,20030111:0800,72,3.8,27.0,1.4,1,H
Pukekohe Ews,20030112:0800,111,3.5,17.9,1.0,1,H
Pukekohe Ews,20030113:0800,114,3.4,17.5,1.1,1,H
Pukekohe Ews,20030114:0800,138,3.2,25.7,1.2,1,H
Pukekohe Ews,20030115:0800,157,3.1,23.2,1.2,1,H
Pukekohe Ews,20030116:0800,302,1.2,22.9,0.7,1,H
Pukekohe Ews,20030117:0800,214,1.6,36.3,0.8,1,H
Pukekohe Ews,20030118:0800,16,0.6,54.4,0.3,1,H
Pukekohe Ews,20030119:0800,131,1.5,26.3,0.5,1,H
Pukekohe Ews,20030120:0800,352,1.4,27.3,0.5,1,H
Pukekohe Ews,20030121:0800,233,1.6,21.8,0.6,1,H
Pukekohe Ews,20030122:0800,312,2.1,21.0,0.8,1,H
Pukekohe Ews,20030123:0800,255,1.0,60.6,0.6,1,H
Pukekohe Ews,20030124:0800,253,3.6,25.1,1.4,1,H
Pukekohe Ews,20030125:0800,228,3.6,23.6,1.3,1,H
Pukekohe Ews,20030126:0800,155,3.1,20.5,1.2,1,H
Pukekohe Ews,20030127:0800,278,2.6,22.0,1.0,1,H
Pukekohe Ews,20030128:0800,230,3.8,19.7,1.5,1,H
Pukekohe Ews,20030129:0800,232,4.2,22.0,1.5,1,H
Pukekohe Ews,20030130:0800,117,2.7,20.9,0.9,1,H
Pukekohe Ews,20030131:0800,58,1.5,33.1,0.5,1,H
Pukekohe Ews,20030201:0800,8,1.2,21.0,0.4,1,H
Pukekohe Ews,20030202:0800,227,1.6,31.5,0.8,1,H
Pukekohe Ews,20030203:0800,212,2.6,26.7,1.1,1,H
Pukekohe Ews,20030204:0800,219,4.8,18.8,1.5,1,H
Pukekohe Ews,20030205:0800,113,4.9,17.2,1.3,1,H
Pukekohe Ews,20030206:0800,31,1.6,25.0,0.6,1,H
Pukekohe Ews,20030207:0800,178,2.2,23.9,0.8,1,H
Pukekohe Ews,20030208:0800,147,1.3,40.5,0.8,1,H
Pukekohe Ews,20030209:0800,214,1.6,26.2,0.8,1,H
Pukekohe Ews,20030210:0800,155,2.2,21.7,0.8,1,H
Pukekohe Ews,20030211:0800,193,0.4,20.7,0.3,1,H
Pukekohe Ews,20030212:0800,215,0.7,29.3,0.5,1,H
Pukekohe Ews,20030213:0800,108,2.0,16.9,0.6,1,H
Pukekohe Ews,20030214:0800,51,1.2,19.7,0.5,1,H
Pukekohe Ews,20030215:0800,212,2.8,25.8,1.2,1,H
Pukekohe Ews,20030216:0800,108,1.3,21.5,0.4,1,H
Pukekohe Ews,20030217:0800,81,1.1,22.9,0.4,1,H
Pukekohe Ews,20030218:0800,35,2.6,22.2,0.9,1,H
Pukekohe Ews,20030219:0800,222,1.0,37.3,0.6,1,H
Pukekohe Ews,20030220:0800,197,1.3,25.3,0.6,1,H
Pukekohe Ews,20030221:0800,284,2.7,22.4,1.3,1,H
Pukekohe Ews,20030222:0800,123,2.6,20.5,0.9,1,H
Pukekohe Ews,20030223:0800,117,2.3,15.6,0.8,1,H
Pukekohe Ews,20030224:0800,112,2.7,15.5,0.7,1,H
Pukekohe Ews,20030225:0800,130,3.4,19.5,1.1,1,H
Pukekohe Ews,20030226:0800,138,5.9,22.5,1.8,1,H
Pukekohe Ews,20030227:0800,119,8.5,18.2,2.5,1,H
Pukekohe Ews,20030228:0800,115,3.8,15.7,0.9,1,H
Pukekohe Ews,20030301:0800,117,2.2,21.1,0.7,1,H
Pukekohe Ews,20030302:0800,62,2.0,24.6,0.7,1,H
Pukekohe Ews,20030303:0800,245,1.9,23.7,0.8,1,H
Pukekohe Ews,20030304:0800,245,2.9,22.7,1.1,1,H
Pukekohe Ews,20030305:0800,121,2.4,18.9,1.0,1,H
Pukekohe Ews,20030306:0800,132,1.9,18.0,0.6,1,H
Pukekohe Ews,20030307:0800,118,1.2,21.6,0.8,1,H
