Day of the year,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,P10,P90
2020-01-01,0,0,0.8,0,0,0,0.2,2.6,3.8,0,0,0,14.8,0,0.6,0,0.2,0,0,7.2,0,0,2.8,0,0,0,0,0,0,0,0.8,0,3.6
2020-01-02,0,0,0.8,0,1,0,1.6,9,4.8,0,0,0,15.2,0,1,0,3.2,0,0,9.8,0,1.8,2.8,15.8,0,3,0.2,0,0,0,0.8,0,8.542886983
2020-01-03,0,0,1,0.2,1,0,2.8,9.8,6.2,0,0,0,15.2,2.8,1,0,3.8,0,0,9.8,3.8,1.8,2.8,34.2,1.8,3,0.4,0,5.2,0,1,0,9.8
2020-01-04,0,0,1,0.2,3.2,0,2.8,10.4,22.4,0,0,0,15.2,2.8,1,0,9.8,4.6,0,10.6,5,1.8,2.8,34.2,3.6,3,0.4,0,7.8,0,1.6,0,12.08433468
2020-01-05,0.6,16,1,0.2,4.4,0,2.8,14.6,22.4,7,0.4,0,15.2,3.2,1,0,9.8,4.8,0,14,5,2,2.8,34.2,3.8,26.8,0.4,0,7.8,0,27.2,0,21.33701045
2020-01-06,1.2,16,1,0.2,4.4,0,2.8,14.6,22.4,9.6,12.8,0,16,13.8,1,0,9.8,4.8,0,14,5,5,2.8,34.2,3.8,30.6,0.4,2.2,7.8,0,31.8,0,21.69876965
2020-01-07,1.3,24,1,0.2,4.4,0,2.8,14.6,22.4,20.8,15.2,1.2,18.4,13.8,1,0,9.8,4.8,0,14.2,5,5,2.8,34.2,3.8,32,0.4,2.4,7.8,0,35.6,0.02,23.68
2020-01-08,1.9,24,1,0.2,4.4,0,2.8,14.6,22.4,20.8,21.2,4.8,29,13.8,1,0,9.8,4.8,0,40.2,5,5,2.8,34.2,3.8,32,0.4,2.4,24,0,40.4,0.02,31.4
2020-01-09,1.9,24,1,0.2,4.4,0,3.4,14.6,22.4,21,34.2,5,29,13.8,1.8,5.4,9.8,5,0,44.6,5,5,2.8,64,3.8,32,0.4,2.4,28.8,0,47,0.22,33.76
2020-01-10,1.9,24,7,0.2,4.4,0,3.6,31.4,22.4,33.2,76.2,5,29.2,13.8,12.6,6.4,9.8,5,0,50.2,5,6.2,5.4,64,3.8,32,0.4,2.4,28.8,0,61,0.22,48.00138598
2020-01-11,1.9,24,8.6,0.2,10.4,0,3.6,31.4,32.2,33.2,83.6,5,29.2,14.2,13.2,6.4,20.8,12.8,0,50.2,5,6.2,5.4,64,3.8,32,0.4,2.4,28.8,0,67.6,0.22,48.54078741
2020-01-12,2,24,47.8,0.2,11.2,0,3.6,31.4,44,36.8,83.6,5,29.2,14.2,13.2,6.4,22.4,18.6,0,50.4,5,6.8,5.4,65.2,3.8,32,0.4,2.4,28.8,0.4,68.6,0.4,49.88
2020-01-13,31.3,24.6,47.8,3.8,11.2,2.8,3.6,31.4,44.2,45,84,5,29.2,14.2,21,6.4,22.4,18.6,0,55,5,7.2,5.4,68.8,3.8,32,0.4,2.4,28.8,0.6,71.8,2.44,53.56
