Day of the year,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,P10,P90
2020-01-01,0.4,3.2,0.5,0,0.6,0,0,4.6,16,0,0,0,1.2,0,2,0,0,0,0,0,0,0,3.2,0,0,0,2.8,0,0,0,0,0,3.2
2020-01-02,0.4,3.2,0.5,0,0.6,0,0,4.6,21.2,0,0,0,2.2,1,3.2,0,0,0,0.2,0,0,0,3.2,0.2,0,0,2.8,0,1.6,0.2,0,0,3.2
2020-01-03,14.4,3.2,12.3,0,0.6,0,0,14.4,21.2,6,0,0,2.2,1,3.2,0,2.4,0,0.2,0,9.4,0,3.2,20.2,0,0.4,2.8,0,3.8,0.2,0,0,11.7410558
2020-01-04,17,3.4,17.4,0,1.2,0,0,26,21.2,6.6,0,0,2.2,3.2,3.2,0,14.6,0,0.2,0,9.4,0,3.2,31.2,1.4,0.6,2.8,1,4,0.2,0,0,16.84
2020-01-05,17,3.9,17.4,9.4,11.2,0,0,28.2,21.2,6.6,0.8,0,2.2,5,3.2,1.8,14.6,0.2,1.6,0,9.4,0,3.2,31.2,7.2,21.4,2.8,1.2,4,0.2,0,0,20.44
2020-01-06,17.5,5.3,17.4,9.6,13.8,0,0,28.2,21.2,14.2,0.8,0.6,2.4,7.4,3.2,1.8,14.6,0.2,2.2,0,9.4,0.6,3.2,31.2,7.2,38.4,2.8,1.2,4.6,0.8,0,0.02,20.61822299
2020-01-07,17.5,6.5,17.4,9.6,14,0,0,28.2,21.2,14.2,1.6,1.6,2.6,7.4,3.8,2.6,14.6,0.2,2.2,0,9.4,1.2,3.2,31.2,10,38.4,5.8,2.4,5,1.2,9.8,0.3,20.71105591
2020-01-08,24.4,12.2,20.5,9.6,14,0,0.4,29.6,21.4,14.2,1.6,3.2,2.6,7.4,3.8,2.6,14.6,0.2,6.4,0.2,9.4,1.2,3.2,31.8,35,38.6,6.2,2.4,9.4,1.2,14.6,0.48,28.01137663
2020-01-09,24.4,19.5,25.1,9.6,14,1.8,2.4,32.2,21.4,15.8,1.6,3.2,16.4,8.6,3.8,2.6,14.6,2.2,6.4,2.8,9.4,2,3.2,31.8,35.2,38.6,6.2,2.4,10,1.2,14.6,2.02,30.46
2020-01-10,24.4,27.9,25.1,9.8,14,6,2.4,33.6,25.6,28.4,1.6,3.2,17.2,13,10.6,2.6,15.2,2.2,6.4,3,10.4,2,3.2,31.8,35.2,44.6,6.8,2.4,11.6,1.2,14.6,2.22,31.12
