Day of the year,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,P10,P90
2020-01-01,1.4,0.8,0.6,0,3.8,0,0,0,7.4,0,0,0,0.6,0,1,0,0,0,0.4,0,0,0,13.2,0,1.6,6.2,0.2,0,11,0,0,0,5.951748432
2020-01-02,2,33.4,0.6,0,3.8,0.8,0,1.6,9.6,0.2,0,0,0.8,13,1.8,0,0,0,0.4,0,0,8.8,13.2,0,1.6,6.2,0.2,8.4,44.4,0,0,0,13.16
2020-01-03,3,38.2,11.2,0,8.6,0.8,0,44.8,10.4,0.8,0,0,0.8,15.6,2.8,0,9,1.2,21.8,0,0,9,13.2,0,5.4,6.2,0.2,8.4,63.2,0,0,0,23.59202716
2020-01-04,4,38.2,13.6,16.2,9.4,0.8,0,70,10.4,32.6,0,0,2.4,16.4,2.8,0,12.6,1.6,22.2,0,0,9.2,14,1.4,18.8,6.2,0.2,8.8,65.6,0,0,0,32.17220856
2020-01-05,5,68,13.6,16.6,12,0.8,0,70,10.4,32.6,11.4,0,7.8,19.8,2.8,0,12.6,3,22.2,0,0,9.2,14,1.4,19.4,7,0.2,14.2,65.6,0,0,0,34.01835375
2020-01-06,19,68.6,13.6,16.6,12,0.8,15.8,70,10.4,34.4,22,0,9.2,22.6,2.8,0,12.6,3,23,0,0,9.2,14,1.4,19.4,9.8,5.6,14.2,77.6,0.4,2.8,0.04,36.59831307
2020-01-07,21.8,68.6,13.6,16.8,12.6,0.8,16.6,70,10.4,34.4,22,0.2,11.4,22.8,6,0.6,12.6,8.4,30.6,0,0,9.2,14,1.4,19.4,12.2,30.4,15.4,77.8,0.4,22.8,0.42,38.24027795
2020-01-08,21.8,77,25.4,18.8,12.6,0.8,16.6,77.4,10.4,34.4,22,0.2,29.4,22.8,6,0.8,15.2,18.4,35,0,0,29.6,14,1.6,19.4,12.2,30.4,16,84.2,0.4,22.8,0.44,42.31430018
2020-01-09,21.8,90.2,25.4,20.4,13.4,6.8,16.6,77.4,29.2,44,22,11.2,30.8,25.6,6,0.8,15.2,26.4,35,0,0,30.8,14,10,20.2,12.2,30.4,16.2,84.2,0.4,22.8,1.32,46.8710332
2020-01-10,22.2,112,25.4,24,13.4,10.2,18,77.4,44.4,46.4,22,11.4,32.6,25.6,6,0.8,31.2,31,35,0,0,30.8,14,10,20.4,12.2,30.8,16.2,84.2,8,22.8,6.2,51.25341975
2020-01-11,24.6,125,25.4,27.8,24.8,10.2,18,77.4,47.4,56.6,35.4,11.4,32.6,25.8,11.6,0.8,31.4,38.2,35.4,0,0,30.8,14,10.2,20.4,12.2,32.2,16.6,84.2,8,23,8.22,56.58256033
2020-01-12,24.8,125,25.4,27.8,61,10.4,18,77.4,47.4,64.6,39.2,11.4,32.6,36.2,12,0.8,31.4,40.8,35.4,11.2,0,30.8,14.2,10.2,20.6,12.2,32.2,16.6,84.2,8,25.2,10.22,63.88
2020-01-13,44.4,125,25.4,30.4,78,11,21.4,77.4,47.6,66.6,39.4,11.4,32.6,36.2,12,1.2,31.4,40.8,35.4,16.2,0,39.4,14.2,30.4,20.8,12.2,32.2,16.6,84.2,8,25.2,11.04,75.24
2020-01-14,45,125,25.4,35.2,78.4,11,22,77.4,48.2,67.4,40.2,11.4,32.6,41.4,14.4,1.2,31.4,50.8,35.4,26.6,0,40.2,14.2,30.4,21,12.2,50.6,16.6,84.2,8,25.2,11.04,75.4
2020-01-15,45.2,135.8,25.4,35.2,78.8,11,34.2,77.4,48.2,67.4,40.2,11.6,32.6,41.4,14.6,4.4,31.4,50.8,35.4,28.8,0,40.4,14.2,30.4,21.4,12.2,50.6,16.6,84.2,8,25.2,11.06,75.4
2020-01-16,45.8,142,25.4,35.2,78.8,13,34.2,77.4,52.4,67.4,40.2,11.6,32.6,44.6,14.6,4.4,31.8,50.8,35.4,29.2,0,45.2,14.8,36.8,21.4,12.2,50.6,16.6,84.2,8,25.2,11.66,75.41692342
