Day of the year,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,P10,P90
2020-01-01,0,34.1,1.3,0.2,0,0,0,0,14.8,0.1,0,0.4,6,7.6,0,0,2.4,3.9,0,0,18.3,0,14,0,11.5,1.7,0,1.1,17.5,0,0,0,14.64
2020-01-02,2.2,44.5,11.9,0.2,0,1,0.1,9.5,16.3,0.5,0,0.5,6,24.9,1.3,0,2.4,11.4,0,0.4,43,2.3,16,0,11.5,1.7,0,12.1,20.7,0,0,0,20.55544592
2020-01-03,2.3,49.5,34.2,0.9,0,1,0.1,21.7,16.3,2.5,0.1,4.9,6,34.9,1.3,27.4,28,30.8,0,0.4,62.3,3.2,16,6,14.1,1.7,0,13.7,32.9,0,0,0,33.94
2020-01-04,2.3,50,34.9,19.8,2.9,18.4,0.1,21.7,16.3,16.6,24.3,9.3,10.1,43.6,1.3,27.4,28.9,35.8,0,0.4,63.6,4.9,16.4,6.4,18.2,1.8,4.9,19.4,53.3,0,0.1,0.13,42.04791525
2020-01-05,2.3,52.2,34.9,19.8,2.9,21.2,0.1,21.7,16.3,17.8,25.8,10.2,40.4,68.4,1.3,27.4,29,37.3,0,2.4,63.6,11.9,25,6.4,18.8,1.8,12.8,24.2,53.6,4.2,0.1,1.35,49.93027263
2020-01-06,5.2,52.2,34.9,23.8,2.9,21.2,7.9,22.8,16.3,20.4,25.8,10.2,40.4,81.2,1.4,27.4,29,37.3,4.2,2.4,63.6,17.1,25,6.4,20.3,4.7,49.4,39,57.5,4.2,3.4,3.48,51.64
2020-01-07,14.4,54.8,34.9,26.8,2.9,24.8,26.4,22.8,16.3,20.4,26.1,10.2,42.8,82.6,22.5,41.2,31.6,42.3,22.1,3.4,67.9,18.3,25,6.4,21.2,4.7,49.7,45.4,58.7,4.2,10.7,4.87,53.78
2020-01-08,19,60.3,57.4,26.8,2.9,24.8,26.8,22.8,17.5,20.4,26.1,10.2,51.4,84,22.6,41.4,43.1,72.7,30.1,3.4,80.1,29.1,25,7.1,27,6,49.7,45.4,59.7,4.2,10.7,6.11,60.18
2020-01-09,19.4,87.9,57.4,28.1,2.9,28.4,28.9,22.8,33.5,27.4,26.1,22.6,51.5,96.4,23,41.4,63.2,73.4,30.1,3.4,82,29.8,25,16.4,27.2,6,49.7,46.7,59.7,4.2,10.7,6.47,71.36
2020-01-10,19.4,89.2,57.4,39.2,2.9,31.3,28.9,22.8,37.7,27.4,26.1,23.9,51.5,96.4,23,41.4,75.8,99.2,30.1,3.4,128,30.4,25,17.1,27.4,6,50.8,46.7,59.7,10.9,10.7,10.72,86.52
2020-01-11,51.7,89.7,57.4,39.2,11.5,31.8,28.9,22.8,37.7,28.3,26.5,23.9,51.7,106.8,23,41.4,75.8,99.3,30.1,3.4,128,31,27.4,17.1,27.4,6,51.4,46.7,62.6,10.9,11.2,11.23,86.92
2020-01-12,54.6,89.8,57.4,39.2,35.2,32.4,28.9,22.8,37.8,28.4,35.1,27.2,51.7,137.2,23,41.4,75.8,100.2,30.1,4.3,128,41.5,27.4,17.1,33.4,6,52.2,46.7,62.6,10.9,11.5,12.06,87.2958936
2020-01-13,89.6,89.8,57.4,42.1,36.2,33.2,28.9,22.8,38.8,28.4,35.1,27.2,51.8,137.2,23,42.8,75.8,102.7,30.2,28.2,142.6,48.6,28,27.5,46.5,6,56.5,49,62.6,12.7,11.5,22.82,87.94857081
2020-01-14,93.4,89.8,57.4,43.8,40.5,33.2,29.7,22.8,41.5,28.4,35.3,27.2,53.3,142.6,24.8,43.1,75.8,109.5,30.3,53.3,142.6,57,28,27.5,48.2,6,68.6,49,62.7,12.7,11.5,23,88.58962599
