Day of the year,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,P10,P90
2020-01-01,4,0.2,0,0,3.2,0,0,10.2,0,0,0,0,8.8,0,5,0,0.4,0,0,0.4,0,9.8,9,0,1,0,0,0,0,0,0,0,8.04
2020-01-02,4,0.2,0,0,3.2,0,0,16.4,0,0,0,0,18.4,0,10.2,0,0.4,1.6,0,0.6,0,14.2,9,16.8,1,4.8,0,0,0.2,0,0,0,13.4
2020-01-03,5,0.2,0,0,3.2,0,0,44.4,0.2,0.2,0,0,18.4,0,12.2,0,0.4,5.4,0,0.8,3.6,15.6,9,33.4,2,6.4,0,0,0.6,0,0,0,15.66531393
2020-01-04,25.2,1.8,1,0,3.2,0,0,48.4,0.2,6.6,0,0,18.4,3.2,13.4,0,0.4,7,0,0.8,3.6,21.8,9,49.8,6.8,6.4,0,0,0.8,0,0,0,19.31867307
2020-01-05,26.4,13.2,1,0,4,0,0,48.4,0.2,9.4,0.2,0,21.8,3.2,13.4,0,0.4,7,0,0.8,3.6,42.4,9,49.8,6.8,43.6,0,0,0.8,0,10.4,0,38.95063332
2020-01-06,27.8,13.2,1,0,4,0,0,48.8,0.2,9.8,0.2,0,34,3.6,13.4,0,0.4,7,1,0.8,3.6,42.4,9,49.8,6.8,43.6,0,0,0.8,0,42.6,0,42.56
2020-01-07,27.8,15.2,1,0,4,2.4,0,49.2,0.2,11,0.2,3.8,34,3.6,13.4,0.2,0.4,7,2.2,0.8,5.2,42.4,9,49.8,6.8,48.2,0,0,0.8,0.6,57,0.02,47.04
2020-01-08,28.8,27.6,1,0,4,2.4,0,49.4,0.2,11,0.2,5.8,44.6,3.6,13.4,12,0.4,7,2.2,0.8,5.2,47,9,53.2,6.8,48.4,0,3,1.8,0.6,58.4,0.2,48.12
2020-01-09,28.8,27.6,25.8,0,4,2.4,0.8,52.8,0.2,12.8,0.2,8.6,55,3.6,13.4,16.6,0.4,7,2.2,1.2,5.2,52.8,9,53.4,6.8,48.4,0,3.2,5.6,0.6,58.4,0.22,52.8
2020-01-10,28.8,30.6,27.6,0,4,2.6,0.8,52.8,0.2,36.2,1.6,8.6,55,3.6,37.2,16.6,0.4,7,2.2,1.2,5.2,53,9,53.4,8.4,50.2,0,3.2,5.8,0.8,58.4,0.44,52.96
2020-01-11,28.8,30.6,27.6,31.8,18,2.6,0.8,52.8,9.2,42,6.2,8.6,60.6,3.6,45,16.6,0.4,25,2.2,1.2,11.4,53,9,53.4,8.4,89.6,0,3.2,5.8,1,58.4,1.02,53.32
2020-01-12,28.8,30.6,27.6,33.8,26.4,2.6,0.8,52.8,9.2,42,7.6,8.6,60.6,3.6,46.4,16.6,0.4,29.4,2.2,6.2,11.4,53,9,53.4,8.4,94.4,0,3.2,5.8,1,58.4,1.12,53.32
2020-01-13,34.2,30.6,27.6,69.6,26.4,2.6,0.8,52.8,9.2,45.8,40.6,8.6,60.6,6.6,47.2,16.6,0.4,34.6,4,12.4,11.4,53,9,53.4,9.2,133.2,0,3.4,5.8,1,58.4,1.16,58.2102589
2020-01-14,34.2,30.6,27.6,97,26.4,2.6,15.8,52.8,9.2,47.4,43.2,8.6,60.6,6.6,59.8,16.6,0.4,34.6,4,12.6,13.4,53,9,53.4,9.2,145.4,4.6,3.6,5.8,1,58.4,3.64,60.44
2020-01-15,34.2,30.6,27.6,119.4,27.2,2.6,22,52.8,17.8,72.2,43.2,8.6,60.6,6.6,59.8,16.6,0.4,34.6,4,12.6,94.8,53,9,53.4,9.2,145.4,5.8,3.6,5.8,1,58.4,3.64,72.10209633
2020-01-16,34.4,31.4,27.6,119.4,27.2,2.8,22.4,53.2,17.8,72.2,43.2,8.6,60.6,6.6,59.8,16.6,0.4,34.6,4,12.6,111.4,53,9,53.4,9.4,145.4,5.8,3.6,5.8,1,58.4,3.64,73.13080078
2020-01-17,34.4,31.4,27.6,119.4,27.2,12,22.4,53.4,19.6,72.2,43.2,8.6,60.6,6.6,59.8,16.6,0.4,34.6,4,12.6,111.4,53,12.6,53.4,9.4,145.6,5.8,3.6,5.8,1,58.4,4.18,73.26302066
2020-01-18,34.4,31.4,27.6,119.4,27.8,12,22.4,53.4,19.6,72.8,43.2,8.6,60.6,6.6,59.8,16.6,8.4,34.6,5.2,12.6,112.6,53,12.6,64.8,9.4,216.6,5.8,3.6,8.4,1,58.4,5.88,82.70745755
2020-01-19,38.4,31.8,29.4,119.4,27.8,12,22.4,53.4,19.6,72.8,43.2,9,60.6,10.2,59.8,16.6,9.2,34.6,37.6,12.6,112.6,53,12.6,116.4,20,216.8,5.8,3.6,8.4,1,58.4,8.46,108.0147433
