Day of the year,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,P10,P90
2020-01-01,0,0.4,0,0,0,0,0,6.8,10.6,0,0,0,6.2,0,7,0,5.2,0,0,39.8,0,0,7,1.4,0,2.6,0,0,0,0,0,0,7
2020-01-02,0,0.6,0,0,0,0,0,10.2,16.6,0,0,0,9.6,0.2,7,0,8.2,0,0,46.2,0,2,7,4,17.2,17,0,0,14.6,0,0,0,16.29062145
2020-01-03,0,0.8,4.2,0,0,0,0,26.2,16.6,0,0,0,9.6,2.2,7,0,16,0,0,46.2,12,2,7,13.2,27,17,0.2,0.8,36.8,0,0,0,25.01695986
2020-01-04,0,0.8,4.2,0,0,0,0,40,16.6,32.6,0,0,10.6,4.4,7,0,25.4,9.2,0,46.2,12,11.4,7,13.2,33,24.2,0.2,0.8,41.4,0,0,0,32.92
2020-01-05,0,14.2,4.2,0,0.8,0,0,44,16.6,41.8,1.4,0,22,9,7,0,25.4,9.2,0,46.2,12,56.4,7,13.2,33,51,0.2,0.8,41.4,0,2.2,0,43.56
2020-01-06,11.4,14.2,4.2,0,2.4,0,0,44,16.6,43.8,2.2,0,46.6,18.4,7,0,25.4,9.2,0,46.2,12,62.2,7,13.2,33,62.8,0.2,2.8,41.4,0,26.8,0,45.76
2020-01-07,11.8,14.2,4.2,0,2.4,0,0,44,16.6,45.6,2.2,35,47,18.4,7,0,25.4,9.2,5,46.2,12,62.2,7.2,13.2,33,62.8,0.2,3.4,41.4,0,33.8,0,46.08
2020-01-08,19.6,15.6,4.4,0,2.4,0,0,44,16.6,45.6,2.2,45,50.6,18.4,7,28.4,25.4,10.8,5,55,13.2,68.2,7.2,14.2,33,62.8,0.2,3.4,66,0,63.4,0.02,61.24
2020-01-09,19.8,15.6,14.8,0,2.4,0,0,44,16.6,47.6,9.4,45,52,18.4,7,52.4,25.4,10.8,5,57,14,73.2,7.2,25.2,33,62.8,0.2,3.4,66,0,63.4,0.02,61.64
2020-01-10,19.8,15.6,21.4,0,2.4,0,0,45.4,16.6,64.6,17.2,47.4,52.6,18.4,19.6,52.6,26,10.8,5,62.8,14,73.4,7.2,25.2,33.4,64,2.4,3.4,66,0,64.4,0.24,64.32
2020-01-11,19.8,31.8,21.4,16,21,0,0.4,45.4,16.6,65,17.2,47.4,52.8,18.4,19.8,52.6,36,37.4,5,70.8,17,73.4,7.2,25.8,33.4,64,2.6,3.4,66,0,83.2,2.68,65.8
2020-01-12,21.6,31.8,25.6,17,31.2,0.6,0.4,45.4,16.6,78.6,17.2,47.4,52.8,18.4,20.4,52.6,36,37.4,5,73,17,73.4,7.2,25.8,33.4,64,2.6,3.4,66,0,86,2.68,71.6
2020-01-13,29.8,31.8,25.6,24.6,33.8,1.2,0.4,45.4,16.6,84.2,17.2,47.4,52.8,19,37.6,52.6,36,37.4,5,93.4,17,77.2,7.2,25.8,41.4,64,2.6,4.4,66,0,86,2.78,74.96
2020-01-14,42.6,32.2,25.6,47.2,43.6,1.2,9,45.4,17.2,84.6,17.2,48.2,52.8,21,57.6,52.6,36,37.4,5,95.4,30.2,77.4,7.2,25.8,41.4,64,23.2,19.8,66,0,86,7.38,75.12
2020-01-15,42.6,32.2,25.6,55.6,43.8,1.2,25,45.4,17.2,114.2,17.2,48.2,52.8,21,57.6,52.6,36,37.4,5,95.4,34.4,77.4,7.2,25.8,50.8,64,33.8,19.8,66,0,86,8.2,75.79854806
2020-01-16,42.8,35.4,25.6,56,43.8,2.8,26,45.4,19,116.6,17.2,53.2,52.8,21.2,57.6,52.6,36,37.4,5,96.2,44.4,77.4,7.2,25.8,55.8,64,33.8,19.8,66,0,86,8.2,76.04260713
2020-01-17,42.8,35.4,25.6,56,43.8,15,82.2,51.2,30,116.6,17.2,53.2,52.8,21.2,57.6,52.6,36,37.4,5,96.2,45.2,78.2,8.8,25.8,55.8,64,33.8,19.8,66,0,86,15.22,81.4
2020-01-18,42.8,35.4,26.4,56,47,15,82.2,52.8,30,135.2,17.2,53.2,53.4,21.2,57.6,52.6,50.4,39.8,13.6,96.4,48.8,78.2,10,26,55.8,74,33.8,19.8,94.4,0,86,15.22,85.24
2020-01-19,42.8,35.4,30.6,56,52.4,15,82.2,72.2,30,135.2,17.2,56,53.4,28.8,57.6,52.6,60.2,39.8,27,96.4,48.8,78.2,11.2,52.6,64.4,80,33.8,19.8,97.8,0,86,17.46,85.26811609
2020-01-20,42.8,35.4,31.2,56,55.2,16.8,82.2,73,30,135.2,17.2,72.6,53.4,28.8,57.6,52.6,60.8,39.8,27,98,55,78.2,12.4,53.2,69.6,80.6,34.6,19.8,103.6,2.6,86,17.46,85.66755388
2020-01-21,42.8,39.2,31.2,62.4,55.2,16.8,82.2,73,30,135.2,18.4,76,53.4,29.6,57.8,52.6,60.8,45.6,27,98.2,55,99.2,12.4,53.2,69.6,80.6,35,19.8,112.8,2.6,86,18.54,96.02076787
2020-01-22,44.6,39.2,31.2,62.4,55.2,43.4,87.4,73,30.8,135.2,18.4,76.8,53.4,35,58.2,56,60.8,55.8,27,98.2,55,100.4,12.4,53.2,78.4,86,35.2,19.8,114.6,2.6,86,20.52,96.41571478
2020-01-23,45,39.2,31.2,80.6,55.2,43.4,132,78.4,30.8,135.2,19.4,76.8,53.4,35,58.2,58.6,60.8,55.8,48.6,100,55,102.2,12.4,53.2,89.2,91.4,35.2,19.8,114.6,2.6,86,20.9,101.76
2020-01-24,45,45.6,31.2,81.8,55.2,43.8,132,79,30.8,135.2,21.6,78.2,53.4,35.6,69.8,58.6,60.8,55.8,138.4,100,55,102.2,12.4,53.2,89.2,91.6,38.6,20.2,116,2.6,86,22.52,113.24
2020-01-25,45,51,31.2,81.8,55.2,43.8,132,100.4,32.4,135.2,27.6,78.2,53.4,58.4,75.8,58.6,60.8,55.8,138.4,100,55.2,102.2,12.4,53.2,89.2,91.6,38.6,20.2,116.8,2.6,97.6,27.96,114.3641746
2020-01-26,55.4,52,39.2,81.8,55.2,43.8,132,117.2,36,135.2,27.6,78.2,53.4,58.4,76.8,58.6,60.8,57.8,138.4,100,55.2,102.2,12.4,53.2,91.6,91.6,38.6,20.2,116.8,4,112.4,28.44,117.12
2020-01-27,55.8,52,41.2,81.8,55.2,43.8,132,117.2,39.6,137.6,27.6,78.2,53.4,58.4,76.8,58.6,63,58.4,138.4,101.4,55.2,106.6,12.4,53.2,91.6,91.6,38.6,20.2,116.8,9.4,113.6,28.7,117.12
2020-01-28,55.8,52,49.8,81.8,55.2,43.8,132,117.2,39.6,137.6,28.2,78.2,53.4,58.4,76.8,58.6,63,58.4,138.4,102.2,55.2,106.6,12.4,57.4,91.6,91.6,39,20.2,117.6,9.4,145,29.28,129.12
2020-01-29,55.8,52,49.8,81.8,55.2,53.4,132,117.2,39.8,137.6,28.2,78.2,53.4,58.4,82.2,58.6,63,58.4,140.2,102.2,55.2,106.6,54.4,57.4,91.6,91.6,39,21.2,118.4,9.4,155.8,39.08,129.28
2020-01-30,58.4,52,50,81.8,55.2,78.8,133.2,137,39.8,137.6,28.2,78.2,53.4,58.4,84.8,58.6,63,58.4,140.2,102.2,55.2,106.6,54.4,57.4,91.6,91.6,39,22.8,118.4,9.4,156.6,39.08,136.24
2020-01-31,61.4,52,50,81.8,55.2,93.8,138,144.2,39.8,137.6,28.2,82.6,53.4,58.4,85,58.6,63,58.4,140.2,102.4,55.2,106.6,54.4,57.4,92,91.6,39,22.8,118.4,9.4,156.6,39.08,137.92
2020-02-01,61.4,52,50,81.8,55.2,95.2,138.8,144.4,39.8,137.6,28.2,94.8,53.4,58.4,85,58.6,63,60,140.4,103.4,55.2,106.6,59.2,57.4,92,91.8,39,22.8,118.4,9.4,161,39.08,138.56
2020-02-02,79.8,52,98.6,81.8,55.2,95.2,138.8,144.6,39.8,137.6,28.2,168.2,53.4,64.9,92,58.6,63.2,70.6,140.4,105.2,55.2,106.6,103.6,59.2,105.8,107.8,39,22.8,118.4,9.4,161.4,39.08,140.08
2020-02-03,81.6,52,109.8,82.6,55.2,95.2,138.8,145,39.8,137.6,28.2,178.6,59.6,65.3,92,58.6,63.2,71.2,140.8,121,55.2,106.6,122.4,59.2,135.4,107.8,39,22.8,118.4,9.4,167,39.08,140.4
2020-02-04,81.6,65,110.6,87.4,61.4,95.2,138.8,145,39.8,137.6,28.2,219.6,63.2,65.3,92,58.6,63.2,71.2,144.8,129.4,66.8,106.6,122.4,62.6,135.4,107.8,39,22.8,118.4,9.4,168.6,39.08,143.8922276
2020-02-05,81.6,93.8,111,87.4,98.6,95.2,138.8,145,39.8,137.6,28.2,236.4,65.4,65.3,92,58.6,63.2,71.2,146.8,129.4,84.8,106.6,123,62.6,135.4,107.8,39,23.4,118.4,9.8,168.6,39.08,144.8995872
