Day of the year,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,P10,P90
2020-01-01,0.2,8.4,0,0,0,0,0,7.2,4.2,4.8,0.2,0.4,0.2,0,0,0,11.6,0,0,0,12.6,2.6,11,0,0.8,0,0,0,0.2,0,0,0,8.16
2020-01-02,0.2,12.4,0,0,0,0,0,10.4,4.6,32.8,0.8,1,0.2,23.6,0,0,11.6,8.8,0,0,25.8,3.8,11,0,0.8,0,1.2,0,27,0,0,0,21.95717698
2020-01-03,0.2,12.8,22.6,0,0,0,0,48,4.6,33,1.6,1.2,0.2,27,0,0,14.4,15,35.4,0,50,22.6,11,0,2.2,0.6,1.2,0,72.8,0,0,0,34.92
2020-01-04,0.2,12.8,22.6,4.6,0.4,0,0,51.4,4.6,71.8,2,1.6,0.2,38.8,0,0.8,14.4,20.8,35.4,0,50,23.8,11,0,4.2,0.6,1.2,0,75.2,0,0,0,47.76
2020-01-05,4.2,34.8,22.6,15.2,0.4,3,0,51.4,4.6,72,2.2,1.8,0.2,39.4,0,0.8,14.4,20.8,37,0,50,29,11,0,4.2,0.6,1.2,0,75.2,0,0.4,0,47.88
2020-01-06,6,34.8,22.6,18.4,0.4,3,0.6,51.4,4.6,72,2.2,1.8,0.2,39.4,0,0.8,14.4,20.8,45.4,0,50,30.4,11,0,4.2,0.6,4.8,0,88.8,0,1.4,0,49.08
2020-01-07,6.2,34.8,22.6,18.4,0.4,3,8.4,51.4,4.6,73,2.6,1.8,0.2,39.4,1.6,2.6,15,28.8,53.2,0,50,30.4,11,0,4.2,0.6,23.6,0,88.8,0,1.4,0.02,51.12
2020-01-08,10.4,36.2,36.6,18.4,1,3,14.6,51.4,14.6,73,3,1.8,6,39.4,1.6,2.6,17.2,29.6,53.2,0,52,40.6,11,0,4.2,0.6,23.6,0,92.6,0,1.4,0.06,51.88
2020-01-09,10.6,99.2,36.6,18.4,1,3,14.6,51.4,15,77.2,3.4,14.4,37,39.4,1.6,2.6,17.4,30.6,53.2,0,54.2,40.6,11,0,4.2,0.6,23.6,0,92.6,0,1.4,0.06,54
2020-01-10,10.6,120.6,37.2,18.6,1,5.6,14.6,51.4,22.8,79.8,5.2,16.8,39.2,39.4,1.6,2.6,32.8,36,53.2,0,86.2,40.6,11,0,5,0.6,24,0,92.6,0.2,1.4,0.24,75.82069502
2020-01-11,21.2,120.6,37.2,18.6,8.8,5.6,14.6,51.4,22.8,79.8,24.2,16.8,39.2,39.4,1.6,2.6,32.8,42.6,53.2,0,91.6,40.6,11,0,5,0.6,24,0,92.6,0.2,3,0.24,76.06882525
2020-01-12,23,120.6,37.2,19.2,9.2,5.6,14.6,51.4,22.8,79.8,37.2,17.8,39.2,68,15.4,2.6,32.8,49.2,53.2,2.6,91.6,42.2,20.6,0,20.8,0.6,24,0,92.6,0.2,4.6,0.8,77.44
2020-01-13,37.4,120.6,37.2,19.8,9.4,5.6,14.6,51.4,22.8,79.8,37.4,17.8,39.2,68,15.4,2.6,32.8,49.4,53.2,12.8,99.4,53.8,20.6,4,22.2,0.6,24,0,92.6,0.2,4.6,2.74,77.44
2020-01-14,38.8,120.6,37.2,38.8,9.4,5.6,14.8,51.4,22.8,79.8,37.4,17.8,39.2,68,19.4,2.6,32.8,55.4,53.2,32.4,99.4,53.8,20.6,4,22.2,0.6,32.2,0,92.6,0.2,4.6,2.74,77.44
2020-01-15,46,145.2,37.2,38.8,9.4,5.6,15,51.4,22.8,81.6,37.4,20.8,39.2,72,22,15.8,32.8,55.4,53.2,37.2,100.2,53.8,20.6,4,22.4,0.6,32.2,0,92.6,0.2,4.6,4.06,79.68
2020-01-16,46.2,152.6,37.2,38.8,9.4,35.2,15,51.4,36.8,91.8,37.8,20.8,39.2,72,22,15.8,32.8,55.4,53.2,37.2,100.2,53.8,20.6,16.8,22.4,0.6,32.2,0,92.6,0.2,4.6,5.08,88.250258
2020-01-17,46.2,152.6,37.2,38.8,9.4,35.2,15,51.4,40.6,92.4,38,20.8,66,72,22,33.4,50.2,55.4,53.2,37.2,101.6,54.4,20.6,16.8,24.4,0.6,32.2,0,96.6,0.2,4.6,5.08,89.2885141
2020-01-18,48.2,152.6,37.2,38.8,9.4,35.2,15,51.4,40.6,92.4,38,20.8,68.4,73.4,22,37,51,72.2,53.2,37.2,108.2,54.4,35.8,16.8,27.6,7.4,32.2,0,107.4,0.2,4.6,7.6,89.91544493
2020-01-19,55.8,152.6,37.2,38.8,14.4,35.2,15,51.4,40.6,92.6,38,20.8,68.4,73.4,22,37,56.4,72.2,63.4,37.2,108.2,56.2,51.4,23,51.2,7.4,32.2,0,112.2,11,4.6,11.34,90.54060922
2020-01-20,55.8,152.6,37.2,38.8,14.6,35.2,15,51.4,40.6,92.6,38,24,68.4,73.4,23.6,37,56.4,72.2,63.8,37.4,108.4,62.6,54.2,23.2,56.6,7.4,43.2,0,131.6,12,4.6,12.26,91.13374932
2020-01-21,55.8,153.6,37.2,38.8,14.6,35.2,15,51.4,40.6,92.6,38.2,24,68.4,73.4,24,37,56.4,72.2,63.8,37.4,108.4,62.6,54.2,23.2,56.6,7.4,43.4,0,134.4,12,4.6,12.26,91.22622183
2020-01-22,71.4,187,37.2,38.8,14.6,35.2,15,53.6,40.6,92.6,40,24,68.4,73.4,24.6,40.2,56.4,81.4,63.8,37.6,108.4,62.6,54.2,23.2,79.8,9,43.4,0,134.4,12,4.6,12.26,92.53803892
2020-01-23,71.4,187.6,44.6,56.6,16,35.6,15,53.6,40.6,92.6,42,24,68.4,73.4,31.6,64.8,56.4,81.4,63.8,39.2,108.4,68,54.2,23.2,82,9,43.4,0,134.6,12,5,12.3,94.05671717
2020-01-24,71.4,207.6,44.6,57.8,16,35.6,15,87,46.6,92.6,42.6,24,68.4,73.4,31.6,64.8,56.4,81.4,63.8,39.2,108.6,68.2,54.2,29.2,82,9,50.8,0,134.6,12,5,12.3,98.07689098
2020-01-25,71.4,207.6,44.6,57.8,16,35.6,15,97.4,46.6,92.6,44,24,68.4,73.4,31.6,64.8,56.4,82.2,63.8,39.2,108.6,68.2,54.2,29.4,87,9,50.8,0,134.6,12,5,12.3,99.83179936
2020-01-26,77.6,207.6,44.6,57.8,16.2,35.6,15,97.4,53.8,92.6,44,25.2,68.4,73.4,31.6,64.8,56.4,82.2,63.8,39.2,108.6,70,54.2,34.8,87,9,51.2,0,134.6,12,5,12.3,100.1222502
2020-01-27,77.6,207.6,44.6,57.8,16.2,35.6,15,97.4,53.8,92.6,46,26.6,68.4,73.4,31.6,64.8,56.4,82.2,71,68.8,108.6,70.6,55,35.2,98.6,9,51.2,0,134.6,12,11.8,12.3,101.9005284
2020-01-28,77.6,207.6,44.6,57.8,16.2,40.2,15,97.8,53.8,92.6,47.2,26.6,68.4,73.4,31.6,64.8,56.4,82.2,71,68.8,108.6,70.6,55.6,35.2,98.6,9,70.8,0,139.2,12,13.2,13.38,102.8851745
2020-01-29,77.6,207.6,44.6,57.8,16.2,40.2,15,98.4,53.8,92.6,47.2,26.6,68.4,73.4,37.4,64.8,56.4,82.2,80.4,68.8,108.6,70.6,63.2,35.2,101.2,9,70.8,0,139.2,12,13.2,13.38,104.1533161
2020-01-30,77.6,207.6,44.6,57.8,16.2,40.6,15,98.8,53.8,92.6,47.6,29.6,68.4,73.4,40.8,64.8,56.8,82.2,80.4,68.8,108.6,70.6,63.2,35.2,102.8,9,70.8,0.4,139.2,12,13.2,13.38,104.6487642
2020-01-31,82.4,207.6,44.6,60.4,16.2,40.6,25,121.8,53.8,92.6,48.6,37.2,68.4,73.4,40.8,64.8,56.8,82.8,94,68.8,108.6,70.6,118.6,35.2,102.8,9,70.8,0.6,139.2,12,13.2,13.5,117.0024463
2020-02-01,82.4,207.6,44.6,60.6,16.2,40.6,28,126.6,54.6,93,55.8,41.4,68.4,73.4,45.4,66.8,58.6,82.8,94,78.4,108.6,70.6,119.6,35.2,123.4,41.4,79.4,0.6,139.2,12,13.2,17.38,122.64
2020-02-02,92.4,207.6,45.6,61.4,16.2,40.6,28,127.2,54.6,93,55.8,41.6,68.4,73.4,45.4,93.4,58.6,82.8,96.2,78.4,108.6,70.6,119.8,35.2,123.4,70.4,80,0.6,139.2,16.6,13.6,17.74,122.68
2020-02-03,93.6,208.6,65,61.8,16.2,40.6,28,127.2,54.6,93,56,43.8,68.4,73.4,45.4,93.4,58.6,82.8,96.4,78.4,108.6,70.6,140.4,35.2,123.4,70.4,80,8.2,139.2,26.2,20.8,26.38,126.44
2020-02-04,93.6,208.6,65,67.2,29.4,42,28,129.2,54.6,93.4,56.2,52,68.4,73.4,45.4,93.4,58.6,82.8,107.8,78.4,134,70.6,148.4,35.2,123.4,70.4,80,57.8,139.2,46.4,20.8,35.88,133.04
2020-02-05,119,208.6,70.4,68.6,35.4,42,28,129.2,54.6,98.8,56.2,52,68.4,73.6,45.4,93.4,58.6,82.8,107.8,78.4,150.8,70.6,150.2,35.2,123.4,70.4,80,96.2,139.2,71.4,20.8,36.06,137.2
2020-02-06,119,208.6,70.4,71.4,38,42,28,132.8,54.6,103.4,56.4,52,68.4,73.6,45.4,93.4,58.6,82.8,107.8,78.4,150.8,70.6,156,35.2,123.4,72.2,80,96.2,139.2,71.6,39.8,40.02,137.92
2020-02-07,119,208.6,70.4,71.6,38,47.4,28,137,54.6,103.4,56.6,52,74.4,73.6,45.4,93.4,58.6,82.8,138,89.6,150.8,70.6,156,35.2,127.8,72.2,80,96.2,139.2,71.6,39.8,40.36,138.96
2020-02-08,119,208.6,89.2,72.2,38,50.8,28,137,54.6,103.4,57,52,74.8,77,45.4,93.4,58.6,82.8,138,89.6,150.8,70.6,156,35.2,127.8,72.2,80,96.2,139.2,71.6,39.8,40.36,138.96
2020-02-09,119,208.6,89.2,73.6,40.6,51,28,137,54.6,103.4,57.2,52,74.8,77,52.4,93.4,59,82.8,138,89.6,150.8,70.6,173.4,35.2,127.8,72.2,80,97.6,140.8,72.6,39.8,41.64,140.24
2020-02-10,119,209.6,89.2,73.6,45.4,51.2,28,137,54.6,103.4,57.6,69.6,74.8,77,52.6,93.4,64.4,83.8,138,89.6,150.8,70.6,175.2,35.2,129.2,72.2,80,97.6,155.8,73.6,39.8,45.98,148.24
2020-02-11,119.2,209.6,89.2,73.8,70,51.2,28,137,54.6,104.6,58,69.6,82.4,81.4,52.6,97.8,64.4,83.8,138,89.6,150.8,70.6,175.2,35.2,129.2,72.2,80,97.6,156,73.8,39.8,51.34,148.24
2020-02-12,119.4,209.6,89.2,74.4,70.2,51.2,28,137,54.6,104.6,58,69.6,113.6,82.6,52.6,98.2,67.6,83.8,138,89.6,155.2,70.6,175.2,35.2,129.2,79,85.4,97.6,156,73.8,39.8,51.34,151.76
2020-02-13,119.4,209.6,89.2,77.6,70.2,51.2,28,137,54.6,112.6,58,69.6,113.6,82.6,52.6,98.2,68.4,92.4,138,89.6,155.2,72.6,175.2,35.2,139.6,79,85.4,97.6,156,73.8,39.8,51.34,152.08
2020-02-14,121.8,209.6,89.2,78.4,70.2,55.8,28,156,54.6,112.6,70.8,73.8,125.8,82.6,52.6,100,68.4,92.4,141,90.1,155.2,73,175.2,35.2,150.6,79,85.4,97.6,156,73.8,39.8,52.8,155.84
2020-02-15,121.8,209.6,89.2,78.6,70.2,55.8,28,156.2,54.6,112.6,71.8,83.4,126.8,86.2,52.6,104.8,68.4,92.4,141,91.9,155.2,73,175.2,35.2,150.6,79,90.6,97.6,156,73.8,39.8,52.8,155.84
2020-02-16,121.8,209.6,89.2,78.6,70.2,55.8,28.6,158.2,77.8,112.6,71.8,83.4,126.8,86.2,52.6,107.2,69,92.4,141,91.9,155.2,73,175.2,35.8,150.6,79,90.6,97.6,156,77.2,39.8,52.92,155.84
