Day of the year,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,P10,P90
2020-01-01,1,1.6,0.2,0,0,0,0,3.6,7.6,0,0,0,1.6,0,5.6,0,1.8,0,0,62.4,0.6,0,3.2,0,0,0,0,0,0,0,0,0,5.2
2020-01-02,1,1.8,0.2,0.4,0.8,0,0,8.8,7.6,0,0,0,3.4,0,13,0,1.8,0,0,67.8,0.6,0,3.2,7.6,1,0.8,0,0,0,0,0,0,8.56
2020-01-03,2.8,1.8,0.2,0.4,6.6,0,0,11.2,14.2,0,0,0,3.4,0.8,16.4,0,3.2,0,0,69.4,1.4,0,3.2,25,5,8.8,0,0,10,0,2.5,0,15.96
2020-01-04,3,1.8,0.2,0.4,6.6,0,0,11.6,14.2,0,0,0,3.4,0.8,16.4,0,6.6,0.2,0,71,1.6,1,4.4,28.4,9.2,31.8,0,0,40.6,0,5.8,0,27.57184067
2020-01-05,3,8.2,0.2,0.4,6.8,0,0.8,24.6,14.2,1,0.2,0,3.4,1.6,16.4,0,6.6,0.6,0,71.4,1.6,1,4.4,28.4,9.2,124.4,0,0,55.2,0,19.4,0,37.78548633
2020-01-06,5,20.2,0.2,0.4,6.8,0,0.8,24.6,14.2,1,4.2,0,4,3.8,16.4,0,6.6,0.6,0,71.4,1.6,1.6,4.4,28.4,9.2,144.6,0,1.4,55.2,0,40.6,0,44.45594187
2020-01-07,5,20.2,0.2,1.2,6.8,0,0.8,24.6,14.2,4.8,4.4,0.4,5,4,16.4,0,6.6,0.6,1.6,71.4,1.8,1.6,4.4,28.4,9.2,161.8,0,1.4,55.2,0.5,62.6,0.22,54.21989616
2020-01-08,5,20.2,0.2,1.2,6.8,0,0.8,24.6,14.2,4.8,4.4,0.6,12.4,4,18,0,6.6,0.6,1.8,134.6,1.8,1.6,4.4,30.4,9.2,162.2,0,1.4,62,0.5,74.1,0.23,61.45781952
2020-01-09,5,20.2,0.2,1.2,6.8,0,0.8,26.4,14.2,4.8,7.2,0.6,12.4,4,18.2,1.6,6.6,0.6,1.8,146.4,1.8,1.6,5.2,48.8,9.2,162.2,0,1.4,65.6,0.5,74.2,0.51,64.92925303
2020-01-10,5,20.2,16.8,1.2,7,0.2,0.8,26.8,14.2,19.2,70.8,0.6,13.4,4,40.6,1.6,6.6,0.6,1.8,159.4,1.8,8.8,7,48.8,9.2,162.2,0,1.4,65.8,0.5,74.2,0.6,70.38791696
