Day of the year,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,P10,P90
2020-01-01,0.1,0,0,0,2.2,0,0,1.8,0,0,0,0,0.4,0,7.2,0,0,0,0,16,0,0,7,0,0.2,0,0,0,0,0,0,0,4.045114247
2020-01-02,0.1,0,0,0,2.2,0,0,3.4,0.6,0,0,0,13.2,0,10.2,0,0,0,0,16,0,16.2,7,1.6,1.8,0,0,0,0.2,0,0,0,9.620768041
2020-01-03,2.7,0,6.4,0,2.2,0,0,12.2,0.6,0,0,0,13.2,0.2,10.4,0,0.6,0,0,16.2,10.8,16.2,7,12.2,2.6,0,0,0,0.8,0,0,0,12.2
2020-01-04,4,0,15.8,0,2.2,0,0,18.2,0.6,4.6,0,0,13.2,3,10.4,0,0.6,5.8,0,16.2,10.8,39,7,42.4,8.8,0,0,1.8,2.3,0,0,0,17.30232004
2020-01-05,4,0,15.8,0,25.4,0,0,25.6,0.6,4.6,0,0,15,3.6,10.4,0,0.6,5.8,0,16.2,10.8,55.8,7,42.4,14.2,13,0,1.8,2.3,0,0.9,0,24.81238906
2020-01-06,4.4,0,15.8,0,28.4,1,0,25.6,0.6,12.6,0.2,0,41.6,3.8,10.4,0,0.6,5.8,0,16.2,10.8,61,7,42.4,14.2,40.2,0,1.8,2.3,0,9.4,0,37.84
2020-01-07,4.4,0,15.8,0,28.4,3.6,0,25.6,0.6,13.4,0.2,3,41.6,3.8,10.4,0.2,0.6,5.8,0.2,16.2,10.8,61,7.6,42.4,14.2,41,0,1.8,2.3,1,16.8,0.02,38.48
2020-01-08,4.5,0,15.8,0,28.4,3.6,0,25.6,0.6,13.4,0.2,11.8,48.8,3.8,10.4,10,0.6,5.8,0.2,19.8,10.8,61,7.6,43.4,14.2,41,0,1.8,4.5,1.3,49.8,0.02,42.92
2020-01-09,4.5,0,46,0,28.4,3.6,1.2,26,0.6,13.4,0.2,12.6,68.2,3.8,10.4,15.8,0.6,5.8,0.2,59.4,10.8,67.4,7.6,47,14.2,41.2,0,1.8,4.9,1.3,49.9,0.2,49.32
2020-01-10,4.5,0,51.2,0,28.4,13.4,1.2,26.2,0.6,19.8,0.2,13.6,68.2,3.8,31,16,0.6,5.8,0.2,59.4,10.8,67.6,7.6,47,14.2,41.4,0,1.8,4.9,1.3,49.9,0.2,50.94
2020-01-11,4.5,0,51.2,0.2,30,14.6,1.2,26.2,0.6,27.2,0.2,13.6,68.2,3.8,48.4,16,1.8,23.2,0.2,60.6,12.2,67.6,7.6,47,14.2,53.8,0,1.8,4.9,1.7,50.9,0.2,53.28
2020-01-12,4.5,0,51.2,0.2,50.6,14.6,1.2,26.2,0.6,27.8,0.2,13.6,68.2,3.8,48.4,16,1.8,25.2,0.2,60.6,12.2,67.6,7.6,47,14.2,56.6,0,1.8,4.9,1.7,67.9,0.2,59.8
2020-01-13,18.2,0,51.2,4,53.4,14.6,1.2,26.2,0.6,55.8,20.8,15.4,68.2,7.8,49.2,16,1.8,25.6,6,67.8,12.6,67.6,7.6,47,14.2,56.6,0,17.3,4.9,2,67.9,1.26,65.4
2020-01-14,22.4,0,51.2,14.4,53.6,14.6,3.4,26.2,5,55.8,29.8,15.4,68.2,8,57.4,16,1.8,25.6,6,67.8,21.8,67.6,7.6,47,14.2,56.6,13.4,17.8,4.9,2,67.9,3.55,65.56
2020-01-15,22.4,0,51.2,19.8,62.2,14.6,23.2,26.2,5,64.4,31.6,15.4,68.2,8,57.4,16,1.8,25.8,6,67.8,37,67.6,7.6,47,16.2,56.6,14,17.8,4.9,2,67.9,4.91,66.96
2020-01-16,22.5,0,51.2,19.8,62.2,14.6,28.4,26.2,5,84.6,31.6,15.4,68.2,8,57.4,16,1.8,43.2,6,67.8,56.4,67.6,7.6,47,16.2,56.6,14,17.8,4.9,2,67.9,4.91,67.76
2020-01-17,22.5,0,51.2,19.8,62.2,22,28.4,26.2,5.2,84.6,31.6,15.4,68.2,8,57.8,16,1.8,50.6,6,67.8,56.4,70.6,8.6,47,16.2,56.6,14,17.8,4.9,2,67.9,4.93,67.88
2020-01-18,22.5,0,51.2,20.4,62.2,22,32.4,26.2,5.2,84.6,31.6,15.4,68.2,8,57.8,16,12,51.8,6,67.8,73.8,70.6,9.2,47,16.2,71.6,14,17.8,6.7,2,67.9,6.07,70.12
2020-01-19,22.5,0,51.2,20.4,62.2,22,32.8,26.2,5.2,86.2,31.6,24.8,68.2,14,57.8,16,12,51.8,19.2,67.8,73.8,70.6,9.2,66,24,75.2,14,18.6,6.7,2,67.9,6.95,70.12
2020-01-20,22.5,0,57.8,20.4,62.6,22,33,26.2,5.2,95.6,31.6,45.2,68.2,14,57.8,16,12,51.8,19.2,67.8,74.6,70.6,9.2,66.2,34.2,75.4,14,20,6.7,6.9,67.9,7.13,70.12
2020-01-21,22.5,0,57.8,20.4,62.6,22,33,26.2,5.2,96,31.6,82,68.2,14,57.8,16,12,51.8,19.2,67.8,74.6,76.6,9.2,66.2,34.2,75.4,14,20,6.7,7.8,69.9,7.94,75.24
2020-01-22,22.5,0,57.8,20.4,62.6,22,33,26.2,5.2,96,31.6,118.6,68.2,14,57.8,16.8,12,51.8,19.4,67.8,74.6,84,9.2,66.2,40.6,75.4,14,20,6.7,7.8,69.9,7.94,75.24
2020-01-23,22.6,0,59.8,20.4,62.6,22.2,33,28.2,5.2,96,32.6,119,68.2,14,57.8,17.4,12,54.4,21.2,85.6,74.6,84.2,9.2,66.2,61.8,75.4,14,20,6.7,7.8,72,7.94,82.48801688
